
> minecraft-pvp@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.100:3000
- Environments: .env
✓ Ready in 761ms

○ Compiling / ...
 GET / 200 in 4.5s (next.js: 3.6s, application-code: 922ms)
 GET /admin/login 200 in 661ms (next.js: 580ms, application-code: 81ms)
 POST /api/auth 200 in 695ms (next.js: 562ms, application-code: 134ms)
 GET /admin 200 in 592ms (next.js: 556ms, application-code: 36ms)
 GET /api/announcements 200 in 329ms (next.js: 320ms, application-code: 9ms)
 GET /api/players 200 in 407ms (next.js: 396ms, application-code: 11ms)
 GET /api/announcements 200 in 15ms (next.js: 3ms, application-code: 11ms)
 GET /api/players 200 in 16ms (next.js: 4ms, application-code: 12ms)
 GET /admin/leaderboard 200 in 538ms (next.js: 511ms, application-code: 28ms)
 GET /api/players 200 in 17ms (next.js: 8ms, application-code: 9ms)
 GET /api/players 200 in 16ms (next.js: 5ms, application-code: 11ms)
 DELETE /api/players/7321974c-c765-4e39-85f9-d66cb5c01333 200 in 1043ms (next.js: 1008ms, application-code: 35ms)
 GET /api/players 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /admin 200 in 27ms (next.js: 3ms, application-code: 23ms)
 GET /api/players 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/announcements 200 in 19ms (next.js: 14ms, application-code: 5ms)
 GET /api/players 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/announcements 200 in 27ms (next.js: 15ms, application-code: 12ms)
 GET /admin/leaderboard 200 in 48ms (next.js: 5ms, application-code: 43ms)
 GET /api/players 200 in 17ms (next.js: 8ms, application-code: 9ms)
 GET /api/players 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /admin/players 200 in 478ms (next.js: 447ms, application-code: 31ms)
 GET /api/players 200 in 10ms (next.js: 4ms, application-code: 6ms)
 GET /api/players 200 in 10ms (next.js: 4ms, application-code: 6ms)
 PUT /api/players/0d549243-df88-4779-87f5-a60754863d7b 200 in 46ms (next.js: 10ms, application-code: 36ms)
 GET /api/players 200 in 15ms (next.js: 4ms, application-code: 11ms)
 GET /admin/leaderboard 200 in 35ms (next.js: 4ms, application-code: 32ms)
 GET /api/players 200 in 18ms (next.js: 12ms, application-code: 6ms)
 GET /api/players 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /leaderboard 200 in 490ms (next.js: 409ms, application-code: 81ms)
 GET /api/players 200 in 11ms (next.js: 4ms, application-code: 7ms)
 GET / 200 in 72ms (next.js: 4ms, application-code: 67ms)
 GET /leaderboard 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /api/players 200 in 16ms (next.js: 7ms, application-code: 10ms)
 GET /api/players 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /leaderboard 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /leaderboard 200 in 28ms (next.js: 4ms, application-code: 24ms)
 GET /leaderboard 200 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /leaderboard 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET / 200 in 63ms (next.js: 6ms, application-code: 58ms)
 GET /leaderboard 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /api/players 200 in 15ms (next.js: 8ms, application-code: 7ms)
 GET /api/players 200 in 14ms (next.js: 4ms, application-code: 10ms)
 GET / 200 in 74ms (next.js: 7ms, application-code: 68ms)
 GET /leaderboard 200 in 36ms (next.js: 5ms, application-code: 32ms)
 GET /api/players 200 in 15ms (next.js: 7ms, application-code: 8ms)
 GET /api/players 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET / 200 in 56ms (next.js: 4ms, application-code: 52ms)
 GET /leaderboard 200 in 36ms (next.js: 4ms, application-code: 32ms)
 GET /api/players 200 in 21ms (next.js: 11ms, application-code: 10ms)
 GET /api/players 200 in 22ms (next.js: 6ms, application-code: 16ms)
 GET /admin 200 in 30ms (next.js: 5ms, application-code: 24ms)
 GET /api/announcements 200 in 13ms (next.js: 7ms, application-code: 6ms)
 GET /api/players 200 in 20ms (next.js: 13ms, application-code: 7ms)
 GET /api/announcements 200 in 11ms (next.js: 4ms, application-code: 8ms)
 GET /api/players 200 in 21ms (next.js: 14ms, application-code: 7ms)
 GET /admin/leaderboard 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /api/players 200 in 11ms (next.js: 4ms, application-code: 7ms)
 GET /api/players 200 in 13ms (next.js: 4ms, application-code: 10ms)
 GET /admin/players 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET /api/players 200 in 17ms (next.js: 4ms, application-code: 12ms)
 GET /api/players 200 in 11ms (next.js: 3ms, application-code: 8ms)
✓ Compiled in 164ms
 GET /api/players 200 in 89ms (next.js: 77ms, application-code: 13ms)
 GET /admin/leaderboard 200 in 508ms (next.js: 101ms, application-code: 407ms)
 GET /admin/players 200 in 509ms (next.js: 160ms, application-code: 349ms)
 GET /admin/leaderboard 200 in 283ms (next.js: 92ms, application-code: 191ms)
 GET /admin/players 200 in 197ms (next.js: 12ms, application-code: 185ms)
 GET /admin/leaderboard 200 in 141ms (next.js: 10ms, application-code: 131ms)
 GET /admin/players 200 in 62ms (next.js: 8ms, application-code: 54ms)
 GET /admin/players 200 in 209ms (next.js: 11ms, application-code: 198ms)
 GET /api/players 200 in 12ms (next.js: 3ms, application-code: 8ms)
 GET /admin/leaderboard 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /api/players 200 in 14ms (next.js: 5ms, application-code: 9ms)
 GET /api/players 200 in 16ms (next.js: 4ms, application-code: 13ms)
 GET /admin/leaderboard 200 in 25ms (next.js: 4ms, application-code: 21ms)
 POST /api/players 200 in 44ms (next.js: 4ms, application-code: 40ms)
 GET /api/players 200 in 14ms (next.js: 5ms, application-code: 9ms)
 GET /admin/announcements 200 in 454ms (next.js: 411ms, application-code: 43ms)
 GET /api/announcements 200 in 62ms (next.js: 55ms, application-code: 7ms)
 GET /api/announcements 200 in 9ms (next.js: 3ms, application-code: 6ms)
 GET /admin 200 in 40ms (next.js: 15ms, application-code: 26ms)
 GET /api/players 200 in 22ms (next.js: 10ms, application-code: 13ms)
 GET /api/announcements 200 in 29ms (next.js: 23ms, application-code: 7ms)
 GET /api/players 200 in 13ms (next.js: 4ms, application-code: 8ms)
